field	dimension	reason
hInt	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hStr	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hBool	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hNull	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hVar	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hAssign	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hIAdd	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hISub	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hIMul	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hIDiv	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hIMod	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hILt	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hILe	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hIGt	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hIGe	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hEq	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hNe	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hStrAddL	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hStrAddR	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hStrGe	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hStrGt	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hStrLe	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hStrLt	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hDivOv	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hNeg	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hNot	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hAndTrue	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hAndFalse	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hOrTrue	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hOrFalse	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hArgsCons	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hFn	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hSExpr	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hSBlock	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hSIfTrue	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hSIfFalse	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hSIfNone	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hSRet	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hSRetNull	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hSVarInit	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hSVarNull	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hSWhileFalse	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hSForStart	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hSBrk	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hSCont	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hArgsNil	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hCall	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hCallClosure	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hCallPrint	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hCallPrintln	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hCallAssertOk	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
hSWhileBreak	full-lean-proposition	quantified Triple, representation predicates, ghost state, and recursive hypotheses are not encoded
